time_sec,odom_to_base_x,odom_to_base_y,odom_to_base_yaw_deg,map_to_odom_x,map_to_odom_y,map_to_odom_yaw_deg,ips_x,ips_y,ips_z,distance_to_start_m,total_distance_m,near_start,left_start_zone,lap_candidate
1783970832.164426,11.835922,3.512366,85.235119,0.000000,0.000000,-0.000000,-14.064720,14.876940,0.059058,12.346083,13.019058,0,1,0
1783970832.214370,11.839171,3.723290,92.505208,0.000000,0.000000,-0.000000,-14.197830,15.040590,0.059049,12.410837,13.230008,0,1,0
1783970832.264354,11.839171,3.723290,92.505208,0.000000,0.000000,-0.000000,-14.197830,15.040590,0.059049,12.410837,13.230008,0,1,0
1783970832.314365,11.817929,3.918489,99.409857,0.000000,0.000000,-0.000000,-14.339590,15.176450,0.059042,12.450623,13.426359,0,1,0
1783970832.364424,11.817929,3.918489,99.409857,0.000000,0.000000,0.000000,-14.339590,15.176450,0.059042,12.450623,13.426359,0,1,0
1783970832.414379,11.768539,4.125524,106.911685,0.000000,0.000000,0.000000,-14.510520,15.303280,0.059035,12.470704,13.639204,0,1,0
1783970832.464581,11.768539,4.125524,106.911685,0.000000,0.000000,0.000000,-14.510520,15.303280,0.059035,12.470704,13.639204,0,1,0
1783970832.514509,11.697640,4.312999,114.005508,0.000000,0.000000,0.000000,-14.685350,15.401300,0.059030,12.467427,13.839637,0,1,0
1783970832.564713,11.697640,4.312999,114.005508,0.000000,-0.000000,0.000000,-14.685350,15.401300,0.059030,12.467427,13.839637,0,1,0
1783970832.614580,11.601951,4.493772,121.263364,0.000000,-0.000000,0.000000,-14.874860,15.478250,0.059026,12.441835,14.044174,0,1,0
1783970832.664635,11.601951,4.493772,121.263364,0.000000,-0.000000,0.000000,-14.874860,15.478250,0.059026,12.441835,14.044174,0,1,0
1783970832.714398,11.475113,4.672385,128.972465,0.000000,-0.000000,0.000000,-15.086840,15.533520,0.059021,12.389891,14.263241,0,1,0
1783970832.764602,11.475113,4.672385,128.972465,-0.000000,0.000000,-0.000000,-15.086840,15.533520,0.059021,12.389891,14.263241,0,1,0
1783970832.814794,11.342024,4.816842,135.819822,-0.000000,0.000000,-0.000000,-15.281650,15.558610,0.059017,12.322479,14.459660,0,1,0
1783970832.864465,11.342024,4.816842,135.819822,-0.000000,0.000000,-0.000000,-15.281650,15.558610,0.059017,12.322479,14.459660,0,1,0
1783970832.914338,11.179399,4.954339,143.237149,-0.000000,0.000000,-0.000000,-15.494610,15.559380,0.059014,12.228018,14.672621,0,1,0
1783970832.964409,11.179399,4.954339,143.237149,0.000000,0.000000,0.000000,-15.494610,15.559380,0.059014,12.228018,14.672621,0,1,0
1783970833.014627,11.002191,5.068878,150.490917,0.000000,0.000000,0.000000,-15.703980,15.533190,0.059010,12.113700,14.883623,0,1,0
1783970833.064408,11.002191,5.068878,150.490917,0.000000,0.000000,0.000000,-15.703980,15.533190,0.059010,12.113700,14.883623,0,1,0
1783970833.114376,10.813814,5.159905,157.407897,0.000000,0.000000,0.000000,-15.906790,15.481810,0.059004,11.981786,15.092840,0,1,0
1783970833.165114,10.813814,5.159905,157.407897,0.000000,-0.000000,0.000000,-15.906790,15.481810,0.059004,11.981786,15.092840,0,1,0
1783970833.214516,10.625766,5.225145,163.829562,0.000000,-0.000000,0.000000,-16.092770,15.410890,0.058998,11.840990,15.291883,0,1,0
1783970833.264408,10.625766,5.225145,163.829562,0.000000,-0.000000,0.000000,-16.092770,15.410890,0.058998,11.840990,15.291883,0,1,0
1783970833.314527,10.388545,5.275662,171.639037,0.000000,-0.000000,0.000000,-16.306950,15.297080,0.058993,11.651373,15.534423,0,1,0
1783970833.364743,10.388545,5.275662,171.639037,0.000000,0.000000,0.000000,-16.306950,15.297080,0.058993,11.651373,15.534423,0,1,0
1783970833.414513,10.185764,5.293514,177.800955,0.000000,0.000000,0.000000,-16.473750,15.180390,0.058985,11.479159,15.737989,0,1,0
1783970833.464697,10.185764,5.293514,177.800955,0.000000,0.000000,0.000000,-16.473750,15.180390,0.058985,11.479159,15.737989,0,1,0
1783970833.514748,9.975786,5.289506,-176.085509,0.000000,0.000000,0.000000,-16.632010,15.042330,0.058977,11.291377,15.948005,0,1,0
1783970833.565064,9.975786,5.289506,-176.085509,0.000000,0.000000,0.000000,-16.632010,15.042330,0.058977,11.291377,15.948005,0,1,0
1783970833.614392,9.777188,5.265738,-170.721564,0.000000,0.000000,0.000000,-16.768850,14.896450,0.058966,11.105017,16.148020,0,1,0
1783970833.664592,9.777188,5.265738,-170.721564,0.000000,0.000000,0.000000,-16.768850,14.896450,0.058966,11.105017,16.148020,0,1,0
1783970833.714359,9.566787,5.220923,-165.660921,0.000000,0.000000,0.000000,-16.901200,14.726860,0.058952,10.898690,16.363142,0,1,0
1783970833.764482,9.566787,5.220923,-165.660921,0.000000,0.000000,-0.000000,-16.901200,14.726860,0.058952,10.898690,16.363142,0,1,0
1783970833.814523,9.369948,5.162713,-161.776656,0.000000,0.000000,-0.000000,-17.014550,14.555730,0.058934,10.698109,16.568407,0,1,0
1783970833.864409,9.369948,5.162713,-161.776656,0.000000,0.000000,-0.000000,-17.014550,14.555730,0.058934,10.698109,16.568407,0,1,0
1783970833.914377,9.170642,5.090503,-158.693459,0.000000,0.000000,-0.000000,-17.120790,14.372290,0.058914,10.488751,16.780391,0,1,0
1783970833.964403,9.170642,5.090503,-158.693459,0.000000,-0.000000,0.000000,-17.120790,14.372290,0.058914,10.488751,16.780391,0,1,0
1783970834.014490,8.932527,4.992182,-156.053596,0.000000,-0.000000,0.000000,-17.239970,14.143900,0.058344,10.232884,17.038006,0,1,0
1783970834.064776,8.932527,4.992182,-156.053596,0.000000,-0.000000,0.000000,-17.239970,14.143900,0.058344,10.232884,17.038006,0,1,0
1783970834.114335,8.651633,4.863300,-154.679734,0.000000,-0.000000,0.000000,-17.372270,13.864600,0.058101,9.924840,17.347056,0,1,0
1783970834.164907,8.651633,4.863300,-154.679734,0.000000,0.000000,0.000000,-17.372270,13.864600,0.058101,9.924840,17.347056,0,1,0
1783970834.214404,8.343904,4.718233,-155.045643,0.000000,0.000000,0.000000,-17.514720,13.555650,0.058115,9.585533,17.687265,0,1,0
1783970834.264430,8.343904,4.718233,-155.045643,0.000000,0.000000,0.000000,-17.514720,13.555650,0.058115,9.585533,17.687265,0,1,0
1783970834.314442,8.059807,4.590263,-156.851045,0.000000,0.000000,0.000000,-17.650060,13.274990,0.058142,9.275290,17.998853,0,1,0
1783970834.364691,8.059807,4.590263,-156.851045,0.000000,0.000000,0.000000,-17.650060,13.274990,0.058142,9.275290,17.998853,0,1,0
1783970834.414346,8.059807,4.590263,-156.851045,0.000000,0.000000,0.000000,-17.808670,12.981170,0.058173,8.944789,18.332750,0,1,0
1783970834.464571,7.749426,4.467174,-160.445490,0.000000,0.000000,0.000000,-17.808670,12.981170,0.058173,8.944789,18.332750,0,1,0
1783970834.514583,7.476107,4.379717,-165.436754,0.000000,0.000000,0.000000,-17.961800,12.738470,0.058850,8.664531,18.619721,0,1,0
1783970834.564528,7.476107,4.379717,-165.436754,-0.000000,0.000000,0.000000,-17.961800,12.738470,0.058850,8.664531,18.619721,0,1,0
1783970834.614929,7.278164,4.335373,-169.206586,-0.000000,0.000000,0.000000,-18.084910,12.577250,0.059001,8.471548,18.822570,0,1,0
1783970834.664495,7.278164,4.335373,-169.206586,-0.000000,0.000000,0.000000,-18.084910,12.577250,0.059001,8.471548,18.822570,0,1,0
1783970834.714757,7.278164,4.335373,-169.206586,-0.000000,0.000000,0.000000,-18.084910,12.577250,0.059001,8.471548,18.822570,0,1,0
1783970834.764624,7.050338,4.302244,-174.003832,0.000000,0.000000,0.000000,-18.238120,12.405410,0.058980,8.259332,19.052792,0,1,0
1783970834.814402,7.050338,4.302244,-174.003832,0.000000,0.000000,0.000000,-18.238120,12.405410,0.058980,8.259332,19.052792,0,1,0
1783970834.864381,6.818925,4.289451,-179.386775,0.000000,0.000000,0.000000,-18.407150,12.246840,0.058958,8.055875,19.284559,0,1,0
1783970834.914370,6.818925,4.289451,-179.386775,0.000000,0.000000,0.000000,-18.407150,12.246840,0.058958,8.055875,19.284559,0,1,0
1783970834.964351,6.594118,4.299181,174.737467,0.000000,0.000000,0.000000,-18.585600,12.109770,0.058942,7.871808,19.509575,0,1,0
1783970835.014414,6.594118,4.299181,174.737467,0.000000,0.000000,0.000000,-18.585600,12.109770,0.058942,7.871808,19.509575,0,1,0
1783970835.064592,6.386746,4.330508,168.411526,0.000000,0.000000,0.000000,-18.764580,12.000450,0.058936,7.716464,19.719301,0,1,0
1783970835.114533,6.386746,4.330508,168.411526,0.000000,0.000000,0.000000,-18.764580,12.000450,0.058936,7.716464,19.719301,0,1,0
1783970835.164551,6.184589,4.385174,161.759856,0.000000,0.000000,0.000000,-18.954570,11.912360,0.058928,7.581483,19.928719,0,1,0
1783970835.214834,6.184589,4.385174,161.759856,-0.000000,0.000000,0.000000,-18.954570,11.912360,0.058928,7.581483,19.928719,0,1,0
1783970835.264429,5.982949,4.466731,154.648693,-0.000000,0.000000,0.000000,-19.161450,11.845200,0.058923,7.466416,20.146227,0,1,0
1783970835.314757,5.982949,4.466731,154.648693,-0.000000,0.000000,0.000000,-19.161450,11.845200,0.058923,7.466416,20.146227,0,1,0
1783970835.364463,5.794778,4.571567,147.572062,-0.000000,0.000000,0.000000,-19.372980,11.804530,0.058918,7.380968,20.361632,0,1,0
1783970835.415135,5.794778,4.571567,147.572062,-0.000000,-0.000000,0.000000,-19.372980,11.804530,0.058918,7.380968,20.361632,0,1,0
1783970835.464594,5.608276,4.709456,139.949321,-0.000000,-0.000000,0.000000,-19.604480,11.790250,0.058915,7.323369,20.593572,0,1,0
1783970835.514429,5.608276,4.709456,139.949321,-0.000000,-0.000000,0.000000,-19.604480,11.790250,0.058915,7.323369,20.593572,0,1,0
1783970835.564740,5.448604,4.863196,132.698980,-0.000000,-0.000000,0.000000,-19.825620,11.805360,0.058912,7.303284,20.815227,0,1,0
