cell_x,cell_y,world_x_m,world_y_m,hits,boundary_label
377,389,13.889250,4.888369,100,outer
304,405,10.239250,5.688369,100,outer
27,276,-3.610750,-0.761632,100,outer
202,128,5.139250,-8.161632,100,outer
543,278,22.189250,-0.661632,100,outer
139,188,1.989250,-5.161632,100,outer
314,40,10.739250,-12.561632,100,outer
239,275,6.989250,-0.811632,100,outer
353,297,12.689250,0.288368,100,outer
186,269,4.339250,-1.111632,100,outer
345,293,12.289250,0.088368,100,outer
372,396,13.639250,5.238369,100,outer
138,229,1.939250,-3.111632,100,outer
322,575,11.139250,14.188369,100,outer
329,434,11.489250,7.138369,100,outer
86,447,-0.660750,7.788369,100,outer
556,333,22.839250,2.088369,100,outer
306,450,10.339250,7.938369,100,outer
274,89,8.739250,-10.111632,100,outer
386,330,14.339250,1.938369,100,outer
174,151,3.739250,-7.011632,100,outer
89,452,-0.510750,8.038369,100,outer
414,20,15.739250,-13.561632,100,outer
547,284,22.389250,-0.361632,100,outer
264,453,8.239250,8.088369,100,outer
256,449,7.839250,7.888369,100,outer
216,413,5.839250,6.088369,100,outer
197,134,4.889250,-7.861632,100,outer
329,290,11.489250,-0.061632,100,outer
389,341,14.489250,2.488369,100,outer
334,405,11.739250,5.688369,100,outer
275,90,8.789250,-10.061632,100,outer
46,267,-2.660750,-1.211632,100,outer
322,22,11.139250,-13.461632,100,outer
238,437,6.939250,7.288369,100,outer
284,404,9.239250,5.638369,100,outer
257,450,7.889250,7.938369,100,outer
540,407,22.039250,5.788369,100,outer
377,366,13.889250,3.738369,100,outer
249,446,7.489250,7.738369,100,outer
345,5,12.289250,-14.311632,100,outer
465,479,18.289250,9.388369,100,outer
135,195,1.789250,-4.811632,100,outer
425,34,16.289250,-12.861632,100,outer
133,271,1.689250,-1.011632,100,outer
428,39,16.439250,-12.611632,100,outer
115,482,0.789250,9.538369,100,outer
215,569,5.789250,13.888369,100,outer
551,375,22.589250,4.188369,100,outer
122,490,1.139250,9.938369,100,outer
75,266,-1.210750,-1.261632,100,outer
437,502,16.889250,10.538369,100,outer
228,279,6.439250,-0.611632,100,outer
33,269,-3.310750,-1.111632,100,outer
261,276,8.089250,-0.761632,100,outer
285,404,9.289250,5.638369,100,outer
310,577,10.539250,14.288369,100,outer
508,153,20.439250,-6.911632,100,outer
170,274,3.539250,-0.861632,100,outer
208,566,5.439250,13.738369,100,outer
380,4,14.039250,-14.361632,100,outer
268,580,8.439250,14.438369,100,outer
372,0,13.639250,-14.561632,100,outer
227,399,6.389250,5.388369,100,outer
556,346,22.839250,2.738369,100,outer
388,353,14.439250,3.088369,100,outer
209,122,5.489250,-8.461632,100,outer
464,83,18.239250,-10.411632,100,outer
517,238,20.889250,-2.661632,100,outer
353,395,12.689250,5.188369,100,outer
454,69,17.739250,-11.111632,100,outer
520,243,21.039250,-2.411632,100,outer
171,275,3.589250,-0.811632,100,outer
232,105,6.639250,-9.311632,100,outer
76,266,-1.160750,-1.261632,100,outer
2,317,-4.860751,1.288368,100,outer
204,272,5.239250,-0.961632,100,outer
336,571,11.839250,13.988369,100,outer
377,343,13.889250,2.588369,100,outer
390,542,14.539250,12.538369,100,outer
41,394,-2.910750,5.138369,100,outer
389,354,14.489250,3.138369,100,outer
113,270,0.689250,-1.061632,100,outer
151,525,2.589250,11.688369,100,outer
434,505,16.739250,10.688369,100,outer
335,117,11.789250,-8.711632,100,outer
500,450,20.039250,7.938369,100,outer
309,65,10.489250,-11.311632,100,outer
327,113,11.389250,-8.911632,100,outer
521,244,21.089250,-2.361632,100,outer
163,536,3.189250,12.238369,100,outer
299,280,9.989250,-0.561632,100,outer
250,275,7.539250,-0.811632,100,outer
336,427,11.839250,6.788369,100,outer
282,456,9.139250,8.238369,100,outer
257,283,7.889250,-0.411632,100,outer
208,278,5.439250,-0.661632,100,outer
152,526,2.639250,11.738369,100,outer
60,263,-1.960750,-1.411632,100,outer
298,580,9.939250,14.438369,100,outer
535,264,21.789250,-1.361632,100,outer
472,473,18.639250,9.088369,100,outer
303,286,10.189250,-0.261632,100,outer
215,402,5.789250,5.538369,100,outer
67,424,-1.610750,6.638369,100,outer
242,276,7.139250,-0.761632,100,outer
490,112,19.539250,-8.961632,100,outer
495,456,19.789250,8.238369,100,outer
329,15,11.489250,-13.811632,100,outer
70,429,-1.460750,6.888369,100,outer
258,400,7.939250,5.438369,100,outer
359,303,12.989250,0.588368,100,outer
324,574,11.239250,14.138369,100,outer
508,166,20.439250,-6.261632,100,outer
56,265,-2.160750,-1.311632,100,outer
539,270,21.989250,-1.061632,100,outer
501,127,20.089250,-8.211632,100,outer
