stamp_sec,ego_x,ego_y,ego_yaw_deg,target_truth_x,target_truth_y,foreground_beam_count,cluster_count,target_detected,detected_local_x,detected_local_y,detected_world_x,detected_world_y,confidence
1783534368.514572,-18.454600,12.576200,-138.113668,-19.655300,12.032000,51,1,1,5.701460,-0.509547,-23.039372,9.148935,0.349783
1783534368.618486,-18.553700,12.493600,-141.888348,-19.796200,12.038600,71,1,1,5.701460,-0.509547,-23.354153,9.375599,0.349783
1783534368.646151,-18.657900,12.417800,-145.658924,-19.923700,12.054300,78,0,1,5.701460,-0.509547,-23.653006,9.622234,0.349783
1783534368.752980,-18.777700,12.343200,-150.075909,-20.049900,12.079100,58,0,1,5.701460,-0.509547,-23.973270,9.940633,0.349783
1783534368.777914,-18.900900,12.279000,-154.498877,-20.185800,12.116800,54,0,1,5.701460,-0.509547,-24.266280,10.284263,0.349783
1783534368.886024,-19.024900,12.226200,-158.853919,-20.316600,12.164100,60,0,1,5.701460,-0.509547,-24.526262,10.644652,0.349783
1783534368.911597,-19.160400,12.180600,-163.477843,-20.439700,12.219300,53,0,1,5.701460,-0.509547,-24.771354,11.047692,0.349783
1783534369.015080,-19.293100,12.147400,-167.960940,-20.565600,12.287600,45,0,1,5.701460,-0.509547,-24.975440,11.456539,0.349783
1783534369.042652,-19.425900,12.124900,-172.389051,-20.680800,12.361800,47,0,1,5.701460,-0.509547,-25.144619,11.874824,0.349783
1783534369.138317,-19.543400,12.113700,-176.254957,-20.788700,12.443000,47,0,1,5.701460,-0.509547,-25.265967,12.249758,0.349783
1783534369.165060,-19.678100,12.110700,179.331577,-20.878500,12.520300,49,0,1,5.701460,-0.509547,-25.373227,12.686726,0.349783
1783534369.263084,-19.804400,12.117200,175.238951,-20.974800,12.615100,54,0,1,5.701460,-0.509547,-25.443894,13.098213,0.349783
1783534369.366254,-19.944200,12.135100,170.681358,-21.059300,12.709800,71,1,1,5.701460,-0.509547,-25.487909,13.561131,0.349783
1783534369.395156,-20.074200,12.161900,166.442529,-21.146100,12.821500,143,1,1,5.701460,-0.509547,-25.497341,13.993789,0.349783
1783534369.488817,-20.258800,12.217900,160.338272,-21.220600,12.932000,153,3,1,5.701460,-0.509547,-25.456393,14.616088,0.349783
1783534369.513751,-20.385800,12.269300,156.032408,-21.316000,13.100600,186,0,1,5.701460,-0.509547,-25.388665,15.050958,0.349783
1783534369.614560,-20.499400,12.325100,152.103868,-21.374200,13.225100,116,4,1,5.701460,-0.509547,-25.299932,15.442979,0.349783
